# Hid              Name                RA(HHMMSS)    R.A.(deg)            eR(SS)   Dec(DDMMSS)   Dec.(deg)       eD(SS)   Vel_HI   eV   W50   eW50   W20   eW20   PkFlux   ePkF   TotFlux   eTotF   MHI                  eMHI                   SNpeak   SNtot   rms   flag   specObjID             plateID               fiberID   mjd     ra          dec         z             zErr          Vel_SDSS   NOC_Spz   2nd_OC_specObjID      A_W20     A_W20_err   W20_center   aa_snr               V_NED   V_NED_e   RA_NED   RA_NED_e   DEC_NED   DEC_NED_e   potOC                        A_W50     A_W50_err  
  J114816+183839   A1367_fr4_003_VB    11:48:16.62   177.0692361111111    0.7      18:38:39.18   18.6442166667   10       977      2    67    4      83    6      34.3     2.4    2.213     0.245   8.0                  0.08650082308111742    20.1     9.7     1.7   0      2824908225164371968   2824882936396933120   92        54180   177.06806   18.642539   0.003331057   1.113914E-4   998        1         -1                    1.17255   0.05371     977.0        35.56150179703361    -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.02489   0.05525    
  J113544+191401   A1367_fr3_065_VB    11:35:44.71   173.9362777781111    1.7      19:14:01.25   19.2336805556   12       3402     3    67    6      81    9      5.4      0.7    0.324     0.065   8.24                 0.1245093896713615     9.0      4.0     0.6   0      2821591823200315392   2821505236659628032   315       54179   173.93332   19.230357   0.01130387    5.107006E-6   3388       1         -1                    1.03205   0.07983     3402.0       14.751675847120131   -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.01197   0.07984    
  J113553+201304   A1367_fr4_004_VB    11:35:53.92   173.9746527781111    0.7      20:13:04.83   20.2180083333   10       1143     3    64    7      106   10     8.6      0.7    0.537     0.066   7.52                 0.0922950536840303     17.2     7.6     0.5   0      2817140175514134528   2817001637049034752   504       54180   173.97685   20.222187   0.00377673    5.301317E-6   1132       1         -1                    1.12137   0.05224     1143.0       30.019212597934676   -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.07017   0.04359    
  J113930+191706   A1367_fr3_066_VB    11:39:30.70   174.8779027781111    0.7      19:17:06.95   19.2852638889   10       3440     2    58    4      83    6      14.8     1.0    0.83      0.09    8.66                 0.08424094846467428    24.6     10.7    0.6   0      2817008508996708352   2817001637049034752   25        54180   174.88243   19.290254   0.01144706    6.415861E-6   3431       1         -1                    1.17367   0.03444     3440.0       40.61606518310032    -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.0781    0.03859    
  J114435+192846   A1367_fr3_083_VB    11:44:35.63   176.1484444441111    0.7      19:28:46.67   19.4796305556   10       2764     2    133   4      144   6      10.1     0.9    1.078     0.113   8.59                 0.0827976380847908     14.5     8.3     0.7   0      2824944509048088576   2824882936396933120   224       54180   176.15162   19.477669   0.009221993   1.740815E-5   2764       1         -1                    1.00864   0.03846     2764.0       29.859319271685035   -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.0637    0.03992    
  J114508+200841   A1367_fr3_072_VB    11:45:08.65   176.2860277781111    0.7      20:08:41.45   20.1448472222   10       3725     2    75    5      97    7      10.3     0.8    0.674     0.081   8.64                 0.08929936663615813    17.1     8.7     0.6   4      2821667139746818048   2821505236659628032   589       54179   176.30949   20.143899   0.01226887    6.094132E-6   3678       1         -1                    1.00535   0.04459     3725.0       29.004341948264436   -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.08294   0.04102    
  J113535+203028   A1367_fr2_066_VB    11:35:35.56   173.8981527781111    0.7      20:30:28.78   20.5079944444   10       6688     3    250   5      286   8      18.0     1.1    2.861     0.182   9.764525813213094    0.06467393889155698    25.7     12.6    0.7   4      2817145398194366464   2817001637049034752   523       54180   173.89431   20.504928   0.02210952    7.502575E-6   6628       1         -1                    1.44733   0.03144     6688.0       57.80092859927751    -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.51949   0.03121    
  J114415+191925   A1367_fr3_014_VB    11:44:15.23   176.0634444441111    1.8      19:19:25.75   19.3238194444   14       5831     9    150   18     210   28     3.5      0.6    0.344     0.078   8.84456639797936     0.13642276897657196    5.9      2.6     0.6   0      2821534648595671040   2821505236659628032   107       54179   176.05795   19.336497   0.01935863    5.151636E-6   5803       1         -1                    1.93774   0.24833     5831.0       10.467586654543176   -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.2562    0.13739    
  J114344+195806   A1367_fr2_133_VB    11:43:44.72   175.9363194441111    0.9      19:58:06.75   19.9685416667   11       6891     10   176   20     531   30     11.3     0.9    1.895     0.147   9.585617169711922    0.07160216109246102    16.1     5.4     0.7   0      2821639377078216704   2821505236659628032   488       54179   175.94756   19.975061   0.02293895    4.125657E-6   6876       1         -1                    1.7126    0.13151     6891.0       45.62888354885157    -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.46649   0.13272    
  J114640+194823   A1367_fr3_026_VB    11:46:40.21   176.6675277781111    1.7      19:48:23.72   19.8065888889   13       5417     4    97    7      107   11     3.6      0.6    0.232     0.064   8.67349594029873     0.15704113944166742    6.0      3.4     0.6   0      2824930490274834432   2824882936396933120   173       54180   176.65198   19.809494   0.01804785    4.683343E-6   5410       1         -1                    1.20272   0.15648     5417.0       8.77881444427233     -1      -1        -1.0     -1.0       -1.0      -1.0        blah                         1.14991   0.14568    
